Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,237634542.22,30417221404.0000,12,7.400,6.400,6.9000,,,,
Integral 2,480400433.75,61491255520.0000,7,5.700,5.089,5.3943,,,,
Integral 3,160751359.22,20576173980.0000,5,5.059,4.600,4.8293,,,,
