Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,497966997.47,127479551353.0000,8,7.400,6.400,6.9000,,,,
Integral 2,485527618.41,124295070314.0000,3,5.700,5.089,5.3943,,,,
Integral 3,251469261.24,64376130878.0000,4,5.059,4.600,4.8293,,,,
