Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,419003836.95,214529964519.0000,5,7.400,6.400,6.9000,,,,
Integral 2,432307047.04,221341208086.0000,3,5.700,5.089,5.3943,,,,
Integral 3,215103643.79,110133065621.0000,3,5.059,4.600,4.8293,,,,
