Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,342751328.14,43872170002.0000,11,7.400,6.400,6.9000,,,,
Integral 2,683153451.74,87443641823.0000,6,5.700,5.089,5.3943,,,,
Integral 3,236226091.98,30236939774.0000,5,5.059,4.600,4.8293,,,,
