Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,491018544.34,62850373675.0000,11,7.400,6.400,6.9000,,,,
Integral 2,489651439.23,62675384222.0000,2,5.700,5.089,5.3943,,,,
Integral 3,234542493.38,30021439153.0000,4,5.059,4.600,4.8293,,,,
