Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,226285235.48,28964510142.0000,10,7.400,6.400,6.9000,,,,
Integral 2,466060645.27,59655762594.0000,5,5.700,5.089,5.3943,,,,
Integral 3,165186450.71,21143865691.0000,4,5.059,4.600,4.8293,,,,
