Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,252516922.41,32322166069.0000,13,7.400,6.400,6.9000,,,,
Integral 2,511395826.94,65458665848.0000,5,5.700,5.089,5.3943,,,,
Integral 3,175740206.38,22494746416.0000,4,5.059,4.600,4.8293,,,,
