Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,228576735.73,29257822174.0000,3,7.400,6.400,6.9000,,,,
Integral 2,459984827.19,58878057880.0000,3,5.700,5.089,5.3943,,,,
Integral 3,158107693.56,20237784776.0000,2,5.059,4.600,4.8293,,,,
