Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,331553669.29,42438869669.0000,9,7.400,6.400,6.9000,,,,
Integral 2,676761857.69,86625517784.0000,6,5.700,5.089,5.3943,,,,
Integral 3,238395491.97,30514622972.0000,4,5.059,4.600,4.8293,,,,
