Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,250621206.64,64159028900.0000,7,7.400,6.400,6.9000,,,,
Integral 2,505357405.87,129371495903.0000,2,5.700,5.089,5.3943,,,,
Integral 3,173298237.05,44364348686.0000,1,5.059,4.600,4.8293,,,,
