Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,339444919.93,43448949751.0000,17,7.400,6.400,6.9000,,,,
Integral 2,681864962.64,87278715218.0000,7,5.700,5.089,5.3943,,,,
Integral 3,238549986.03,30534398212.0000,5,5.059,4.600,4.8293,,,,
