Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,254953106.95,32633997689.0000,12,7.400,6.400,6.9000,,,,
Integral 2,515049529.23,65926339741.0000,6,5.700,5.089,5.3943,,,,
Integral 3,177952286.44,22777892664.0000,4,5.059,4.600,4.8293,,,,
