Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,261447072.48,33465225277.0000,11,7.400,6.400,6.9000,,,,
Integral 2,540247625.53,69151696068.0000,6,5.700,5.089,5.3943,,,,
Integral 3,191108601.91,24461901044.0000,4,5.059,4.600,4.8293,,,,
