Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,514803651.25,131789734719.0000,5,7.400,6.400,6.9000,,,,
Integral 2,510162769.43,130601668975.0000,3,5.700,5.089,5.3943,,,,
Integral 3,257874507.24,66015873854.0000,4,5.059,4.600,4.8293,,,,
