Object,Integral [abs],Integral [rel],Peaks,Range (F1) from,Range (F1) to,?(F1) [ppm],Concentration (Eretic),Atoms (Eretic),Intensity [abs],
Integral 1,646418905.04,165483239690.0000,6,7.400,6.400,6.9000,,,,
Integral 2,640752203.58,164032564117.0000,2,5.700,5.089,5.3943,,,,
Integral 3,334285528.61,85577095323.0000,3,5.059,4.600,4.8293,,,,
